,city,area
0,杭州市,上城区
1,杭州市,下城区
2,杭州市,江干区
3,杭州市,拱墅区
4,杭州市,西湖区
5,杭州市,滨江区
6,杭州市,萧山区
7,杭州市,余杭区
8,杭州市,临安区
9,杭州市,富阳区
10,杭州市,桐庐县
11,杭州市,淳安县
12,宁波市,海曙区
13,宁波市,江东区
14,宁波市,江北区
15,宁波市,北仑区
16,宁波市,鄞州区
17,宁波市,镇海区
18,宁波市,鄞州区
19,宁波市,宁海县
20,宁波市,象山县
21,宁波市,余姚市
22,宁波市,慈溪市
23,宁波市,奉化市
24,温州市,鹿城区
25,温州市,龙湾区
26,温州市,瓯海区
27,温州市,洞头县
28,温州市,永嘉县
29,温州市,平阳县
30,温州市,苍南县
31,温州市,文成县
32,温州市,泰顺县
33,温州市,瑞安市
34,温州市,乐清市
35,嘉兴市,南湖区
36,嘉兴市,秀洲区
37,嘉兴市,嘉善县
38,嘉兴市,海盐县
39,嘉兴市,海宁市
40,嘉兴市,平湖市
41,嘉兴市,桐乡市
42,湖州市,吴兴区
43,湖州市,南浔区
44,湖州市,德清县
45,湖州市,长兴县
46,湖州市,安吉县
47,绍兴市,越城区
48,绍兴市,绍兴县
49,绍兴市,新昌县
50,绍兴市,上虞区
51,绍兴市,嵊州市
52,金华市,婺城区
53,金华市,金东区
54,金华市,武义县
55,金华市,浦江县
56,金华市,磐安县
57,金华市,兰溪市
58,金华市,义乌市
59,金华市,东阳市
60,金华市,永康市
61,衢州市,柯城区
62,衢州市,衢江区
63,衢州市,常山县
64,衢州市,开化县
65,衢州市,龙游县
66,衢州市,江山市
67,舟山市,定海区
68,舟山市,普陀区
69,舟山市,岱山县
70,舟山市,嵊泗县
71,台州市,椒江区
72,台州市,黄岩区
73,台州市,路桥区
74,台州市,临海市
75,台州市,温岭市
76,台州市,玉环市
77,台州市,三门县
78,台州市,天台县
79,台州市,仙居县
80,丽水市,莲都区
81,丽水市,青田县
82,丽水市,缙云县
83,丽水市,遂昌县
84,丽水市,松阳县
85,丽水市,云和县
86,丽水市,庆元县
87,丽水市,景宁畲族自治县
88,丽水市,龙泉市
